,track_name,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,The Unforgiven II,Metallica,0IGXkVRn0uCsgn4FvIfpgB,0.49,0.884,8,-4.533,0,0.0428,0.000514,0.00177,0.27,0.254,132.978,audio_features,0IGXkVRn0uCsgn4FvIfpgB,spotify:track:0IGXkVRn0uCsgn4FvIfpgB,https://api.spotify.com/v1/tracks/0IGXkVRn0uCsgn4FvIfpgB,https://api.spotify.com/v1/audio-analysis/0IGXkVRn0uCsgn4FvIfpgB,396440,4
0,Hardwired,Metallica,7myke8Id4WyKFlWcRBJdIF,0.13,0.991,11,-3.126,1,0.0604,1.15e-05,0.00412,0.225,0.505,185.364,audio_features,7myke8Id4WyKFlWcRBJdIF,spotify:track:7myke8Id4WyKFlWcRBJdIF,https://api.spotify.com/v1/tracks/7myke8Id4WyKFlWcRBJdIF,https://api.spotify.com/v1/audio-analysis/7myke8Id4WyKFlWcRBJdIF,191332,4
0,The Day That Never Comes,Metallica,2gqzkEF88vMclfRZEIOnQO,0.334,0.986,4,-1.046,0,0.0576,0.000114,0.0353,0.0805,0.48,124.668,audio_features,2gqzkEF88vMclfRZEIOnQO,spotify:track:2gqzkEF88vMclfRZEIOnQO,https://api.spotify.com/v1/tracks/2gqzkEF88vMclfRZEIOnQO,https://api.spotify.com/v1/audio-analysis/2gqzkEF88vMclfRZEIOnQO,476267,4
0,Whiplash (Remastered),Metallica,4k1IS2uF2dGcU3GzOOZqqb,0.386,0.911,4,-6.474,0,0.0956,0.000608,0.443,0.135,0.188,158.045,audio_features,4k1IS2uF2dGcU3GzOOZqqb,spotify:track:4k1IS2uF2dGcU3GzOOZqqb,https://api.spotify.com/v1/tracks/4k1IS2uF2dGcU3GzOOZqqb,https://api.spotify.com/v1/audio-analysis/4k1IS2uF2dGcU3GzOOZqqb,248547,4
0,Harvester of Sorrow (Remastered),Metallica,3IolN0Ae207i0Fr9IHuNbu,0.656,0.864,4,-7.895,0,0.0414,0.000197,0.107,0.281,0.617,93.197,audio_features,3IolN0Ae207i0Fr9IHuNbu,spotify:track:3IolN0Ae207i0Fr9IHuNbu,https://api.spotify.com/v1/tracks/3IolN0Ae207i0Fr9IHuNbu,https://api.spotify.com/v1/audio-analysis/3IolN0Ae207i0Fr9IHuNbu,345284,4
0,Until It Sleeps,Metallica,63aVbch5VRXtQnCITdeDTZ,0.562,0.919,8,-4.458,0,0.0293,0.000223,0.113,0.142,0.728,113.357,audio_features,63aVbch5VRXtQnCITdeDTZ,spotify:track:63aVbch5VRXtQnCITdeDTZ,https://api.spotify.com/v1/tracks/63aVbch5VRXtQnCITdeDTZ,https://api.spotify.com/v1/audio-analysis/63aVbch5VRXtQnCITdeDTZ,269573,4
0,The Memory Remains,Metallica,0vhOJ8a3M2LWnBNrDXJKDl,0.432,0.904,10,-3.697,0,0.0432,0.000321,0.00982,0.206,0.6,144.401,audio_features,0vhOJ8a3M2LWnBNrDXJKDl,spotify:track:0vhOJ8a3M2LWnBNrDXJKDl,https://api.spotify.com/v1/tracks/0vhOJ8a3M2LWnBNrDXJKDl,https://api.spotify.com/v1/audio-analysis/0vhOJ8a3M2LWnBNrDXJKDl,279240,4
0,Fight Fire With Fire (Remastered),Metallica,0WSRrGVg1gO33MKIBPgBV2,0.28,0.986,0,-7.012,1,0.115,3.73e-05,0.688,0.071,0.16,91.025,audio_features,0WSRrGVg1gO33MKIBPgBV2,spotify:track:0WSRrGVg1gO33MKIBPgBV2,https://api.spotify.com/v1/tracks/0WSRrGVg1gO33MKIBPgBV2,https://api.spotify.com/v1/audio-analysis/0WSRrGVg1gO33MKIBPgBV2,284507,4
0,...And Justice for All (Remastered),Metallica,0ep7UTGw3F9VkN9FV52En3,0.382,0.793,4,-7.342,0,0.183,7.11e-05,0.147,0.0541,0.424,173.583,audio_features,0ep7UTGw3F9VkN9FV52En3,spotify:track:0ep7UTGw3F9VkN9FV52En3,https://api.spotify.com/v1/tracks/0ep7UTGw3F9VkN9FV52En3,https://api.spotify.com/v1/audio-analysis/0ep7UTGw3F9VkN9FV52En3,585507,4
0,Orion (Remastered),Metallica,4xyWJM4kscTROV2RESdwpd,0.367,0.672,9,-10.014,1,0.0378,0.0013,0.899,0.111,0.382,128.497,audio_features,4xyWJM4kscTROV2RESdwpd,spotify:track:4xyWJM4kscTROV2RESdwpd,https://api.spotify.com/v1/tracks/4xyWJM4kscTROV2RESdwpd,https://api.spotify.com/v1/audio-analysis/4xyWJM4kscTROV2RESdwpd,507227,4
