,track_name,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,"Stop - Live at the Fillmore East, NY - 12/31/69 - 1st Set",Jimi Hendrix,7w4MKIflgZjFWxR0cO3rV5,0.409,0.763,11,-8.359,1,0.0726,0.376,0.0,0.476,0.601,80.758,audio_features,7w4MKIflgZjFWxR0cO3rV5,spotify:track:7w4MKIflgZjFWxR0cO3rV5,https://api.spotify.com/v1/tracks/7w4MKIflgZjFWxR0cO3rV5,https://api.spotify.com/v1/audio-analysis/7w4MKIflgZjFWxR0cO3rV5,329760,4
0,"Voodoo Child (Slight Return) - Live at The Woodstock Music & Art Fair, August 18, 1969",Jimi Hendrix,7kh56hGsZme1loWCPUETB9,0.268,0.962,4,-3.622,1,0.174,0.00112,0.0835,0.484,0.472,107.745,audio_features,7kh56hGsZme1loWCPUETB9,spotify:track:7kh56hGsZme1loWCPUETB9,https://api.spotify.com/v1/tracks/7kh56hGsZme1loWCPUETB9,https://api.spotify.com/v1/audio-analysis/7kh56hGsZme1loWCPUETB9,820053,4
0,Mannish Boy,Jimi Hendrix,5vZOZXF9p5v2ttJKk5Vo0L,0.642,0.841,8,-10.901,0,0.0613,0.267,0.0206,0.334,0.834,110.246,audio_features,5vZOZXF9p5v2ttJKk5Vo0L,spotify:track:5vZOZXF9p5v2ttJKk5Vo0L,https://api.spotify.com/v1/tracks/5vZOZXF9p5v2ttJKk5Vo0L,https://api.spotify.com/v1/audio-analysis/5vZOZXF9p5v2ttJKk5Vo0L,321800,4
0,"Purple Haze - Live at the Los Angeles Forum, Inglewood, CA - April 26, 1969",Jimi Hendrix,5C2wcL83oyZwo9BLI91xOu,0.263,0.84,1,-9.924,0,0.121,0.00507,0.0764,0.841,0.462,107.537,audio_features,5C2wcL83oyZwo9BLI91xOu,spotify:track:5C2wcL83oyZwo9BLI91xOu,https://api.spotify.com/v1/tracks/5C2wcL83oyZwo9BLI91xOu,https://api.spotify.com/v1/audio-analysis/5C2wcL83oyZwo9BLI91xOu,404640,4
0,Bleeding Heart,Jimi Hendrix,5vaBrNtOzDvcHmcpv52A3x,0.376,0.549,3,-10.16,1,0.0754,0.499,0.0112,0.326,0.628,184.995,audio_features,5vaBrNtOzDvcHmcpv52A3x,spotify:track:5vaBrNtOzDvcHmcpv52A3x,https://api.spotify.com/v1/tracks/5vaBrNtOzDvcHmcpv52A3x,https://api.spotify.com/v1/audio-analysis/5vaBrNtOzDvcHmcpv52A3x,206867,3
0,Hear My Train A Comin' (Electric),Jimi Hendrix,3cb9hcFSChrzfSEGroJ7oW,0.263,0.668,2,-11.454,1,0.0833,0.0207,0.00148,0.632,0.429,145.742,audio_features,3cb9hcFSChrzfSEGroJ7oW,spotify:track:3cb9hcFSChrzfSEGroJ7oW,https://api.spotify.com/v1/tracks/3cb9hcFSChrzfSEGroJ7oW,https://api.spotify.com/v1/audio-analysis/3cb9hcFSChrzfSEGroJ7oW,729053,4
0,"Purple Haze - Live at The Woodstock Music & Art Fair, August 18, 1969",Jimi Hendrix,2lk8WgD5OirqjGNaY8M3hO,0.269,0.974,2,-3.295,1,0.152,0.00152,0.314,0.199,0.375,118.44,audio_features,2lk8WgD5OirqjGNaY8M3hO,spotify:track:2lk8WgD5OirqjGNaY8M3hO,https://api.spotify.com/v1/tracks/2lk8WgD5OirqjGNaY8M3hO,https://api.spotify.com/v1/audio-analysis/2lk8WgD5OirqjGNaY8M3hO,263867,4
0,Easy Blues,Jimi Hendrix,1IxrhqDVsnCSWOShNWTVT1,0.422,0.872,5,-6.771,0,0.13,0.203,0.233,0.0684,0.722,95.19,audio_features,1IxrhqDVsnCSWOShNWTVT1,spotify:track:1IxrhqDVsnCSWOShNWTVT1,https://api.spotify.com/v1/tracks/1IxrhqDVsnCSWOShNWTVT1,https://api.spotify.com/v1/audio-analysis/1IxrhqDVsnCSWOShNWTVT1,357093,4
0,Electric Church Red House,Jimi Hendrix,32mPKymSO6MZQ8BuYVERXM,0.299,0.71,7,-10.858,1,0.0765,0.0332,0.0367,0.0773,0.564,148.32,audio_features,32mPKymSO6MZQ8BuYVERXM,spotify:track:32mPKymSO6MZQ8BuYVERXM,https://api.spotify.com/v1/tracks/32mPKymSO6MZQ8BuYVERXM,https://api.spotify.com/v1/audio-analysis/32mPKymSO6MZQ8BuYVERXM,373000,4
0,Night Bird Flying,Jimi Hendrix,3Ast3eOba9HfZqTgHzqZMf,0.352,0.887,8,-4.507,1,0.0338,0.125,0.506,0.665,0.77,106.359,audio_features,3Ast3eOba9HfZqTgHzqZMf,spotify:track:3Ast3eOba9HfZqTgHzqZMf,https://api.spotify.com/v1/tracks/3Ast3eOba9HfZqTgHzqZMf,https://api.spotify.com/v1/audio-analysis/3Ast3eOba9HfZqTgHzqZMf,230627,4
